fpr,tpr,threshold
3.573115386984824365e-03,3.883800000000000030e-01,9.001852237787032474e-01
3.573115386984824365e-03,3.886200000000000210e-01,9.001671042632404252e-01
3.593650532887036030e-03,3.886200000000000210e-01,9.001669576601606382e-01
3.593650532887036030e-03,3.904400000000000093e-01,9.000346288553600083e-01
3.614185678789247694e-03,3.904400000000000093e-01,9.000344501788267726e-01
3.614185678789247694e-03,3.914199999999999902e-01,8.999370681596978727e-01
3.634720824691459358e-03,3.914199999999999902e-01,8.999345930906271773e-01
3.634720824691459358e-03,3.926600000000000090e-01,8.998412453443900283e-01
3.655255970593671022e-03,3.926600000000000090e-01,8.998385209553866337e-01
3.655255970593671022e-03,3.926999999999999935e-01,8.998375656807489076e-01
3.675791116495882686e-03,3.926999999999999935e-01,8.998369257163525425e-01
3.675791116495882686e-03,3.927200000000000135e-01,8.998361479927797779e-01
3.696326262398094351e-03,3.927200000000000135e-01,8.998359641024447075e-01
3.696326262398094351e-03,3.931000000000000050e-01,8.997911833166729600e-01
3.716861408300306015e-03,3.931000000000000050e-01,8.997908523109582335e-01
3.716861408300306015e-03,3.946200000000000263e-01,8.996809953705344753e-01
3.737396554202517679e-03,3.946200000000000263e-01,8.996790317692050509e-01
3.737396554202517679e-03,3.963800000000000101e-01,8.995205429877172199e-01
3.757931700104729343e-03,3.963800000000000101e-01,8.995198924486125236e-01
3.757931700104729343e-03,3.971799999999999775e-01,8.994515829150681041e-01
3.778466846006941007e-03,3.971799999999999775e-01,8.994491358827979566e-01
3.778466846006941007e-03,3.971999999999999975e-01,8.994440335891596972e-01
3.799001991909152672e-03,3.971999999999999975e-01,8.994430631193918169e-01
3.799001991909152672e-03,3.977600000000000025e-01,8.993872567047213051e-01
3.819537137811364336e-03,3.977600000000000025e-01,8.993865615567683269e-01
3.819537137811364336e-03,3.981199999999999739e-01,8.993625449109113879e-01
3.840072283713576000e-03,3.981199999999999739e-01,8.993611803418255501e-01
3.840072283713576000e-03,3.981999999999999984e-01,8.993478987291845250e-01
3.860607429615787230e-03,3.981999999999999984e-01,8.993455522222451037e-01
3.860607429615787230e-03,3.989599999999999813e-01,8.992693420308193186e-01
3.881142575517998895e-03,3.989599999999999813e-01,8.992639450952780722e-01
3.881142575517998895e-03,3.997399999999999842e-01,8.991898734950954930e-01
3.901677721420210559e-03,3.997399999999999842e-01,8.991876094231120442e-01
3.901677721420210559e-03,4.004199999999999982e-01,8.991166246139281615e-01
3.922212867322422657e-03,4.004199999999999982e-01,8.991161160917195971e-01
3.922212867322422657e-03,4.013200000000000101e-01,8.990186927815625451e-01
3.942748013224634321e-03,4.013200000000000101e-01,8.990138743923771214e-01
3.942748013224634321e-03,4.022000000000000020e-01,8.988972674758052284e-01
3.963283159126845985e-03,4.022000000000000020e-01,8.988924794161244902e-01
3.963283159126845985e-03,4.036600000000000188e-01,8.986996142567595935e-01
3.983818305029057649e-03,4.036600000000000188e-01,8.986984389014784913e-01
3.983818305029057649e-03,4.047200000000000242e-01,8.985753699031271413e-01
4.004353450931268446e-03,4.047200000000000242e-01,8.985749937080823591e-01
4.004353450931268446e-03,4.047999999999999932e-01,8.985573200643756087e-01
4.024888596833480110e-03,4.047999999999999932e-01,8.985563574376916884e-01
4.024888596833480110e-03,4.049400000000000222e-01,8.985343083027861333e-01
4.045423742735691774e-03,4.049400000000000222e-01,8.985339517906675288e-01
4.045423742735691774e-03,4.066199999999999815e-01,8.983365735971433619e-01
4.065958888637903439e-03,4.066199999999999815e-01,8.983365358420545288e-01
4.065958888637903439e-03,4.069999999999999729e-01,8.982705423133392486e-01
4.086494034540115103e-03,4.069999999999999729e-01,8.982662919474676544e-01
4.086494034540115103e-03,4.073200000000000154e-01,8.982374083616005978e-01
4.107029180442326767e-03,4.073200000000000154e-01,8.982348667815082122e-01
4.107029180442326767e-03,4.073800000000000199e-01,8.982303701123114381e-01
4.127564326344538431e-03,4.073800000000000199e-01,8.982289108919250253e-01
4.127564326344538431e-03,4.076600000000000223e-01,8.981631237651327426e-01
4.148099472246750095e-03,4.076600000000000223e-01,8.981600573582120273e-01
4.148099472246750095e-03,4.076799999999999868e-01,8.981584927612791258e-01
4.168634618148961760e-03,4.076799999999999868e-01,8.981559938025096557e-01
4.168634618148961760e-03,4.079400000000000248e-01,8.981324040574832912e-01
4.189169764051173424e-03,4.079400000000000248e-01,8.981295973045720915e-01
4.189169764051173424e-03,4.085199999999999942e-01,8.980210263914311097e-01
4.209704909953385088e-03,4.085199999999999942e-01,8.980157928495955399e-01
4.209704909953385088e-03,4.086400000000000032e-01,8.980009093237364404e-01
4.230240055855596752e-03,4.086400000000000032e-01,8.979998530346481322e-01
4.230240055855596752e-03,4.087799999999999767e-01,8.979811787868108297e-01
4.271310347660020081e-03,4.087799999999999767e-01,8.979742700141966072e-01
4.271310347660020081e-03,4.092799999999999772e-01,8.978927085968911870e-01
4.291845493562231745e-03,4.092799999999999772e-01,8.978916286515425949e-01
4.291845493562231745e-03,4.098999999999999866e-01,8.977781079577805690e-01
4.312380639464443409e-03,4.098999999999999866e-01,8.977742225162497203e-01
4.312380639464443409e-03,4.104400000000000270e-01,8.977009566303417731e-01
4.332915785366655073e-03,4.104400000000000270e-01,8.976834931216309821e-01
4.332915785366655073e-03,4.106000000000000205e-01,8.976530824322692670e-01
4.353450931268866737e-03,4.106000000000000205e-01,8.976514383976815781e-01
4.353450931268866737e-03,4.107199999999999740e-01,8.976185912216834151e-01
4.373986077171078402e-03,4.107199999999999740e-01,8.976109160161821476e-01
4.373986077171078402e-03,4.114200000000000079e-01,8.974565749991074703e-01
4.394521223073290066e-03,4.114200000000000079e-01,8.974517482573320937e-01
4.394521223073290066e-03,4.116000000000000214e-01,8.974350423173558244e-01
4.415056368975501730e-03,4.116000000000000214e-01,8.974330773546623785e-01
4.415056368975501730e-03,4.118399999999999839e-01,8.973875067324227350e-01
4.435591514877713394e-03,4.118399999999999839e-01,8.973861430283316398e-01
4.435591514877713394e-03,4.121600000000000263e-01,8.973216128020695681e-01
4.456126660779925058e-03,4.121600000000000263e-01,8.973188509182523642e-01
4.456126660779925058e-03,4.124599999999999933e-01,8.972418587787429622e-01
4.476661806682136723e-03,4.124599999999999933e-01,8.972412066431243449e-01
4.476661806682136723e-03,4.132600000000000162e-01,8.970737532191737085e-01
4.497196952584348387e-03,4.132600000000000162e-01,8.970666883646468692e-01
4.497196952584348387e-03,4.147000000000000131e-01,8.966948931321941929e-01
4.517732098486560051e-03,4.147000000000000131e-01,8.966914747977305922e-01
4.517732098486560051e-03,4.161400000000000099e-01,8.962132302266578865e-01
4.538267244388771715e-03,4.161400000000000099e-01,8.961959204966190029e-01
4.538267244388771715e-03,4.169599999999999973e-01,8.958043801091341019e-01
4.558802390290983379e-03,4.169599999999999973e-01,8.957943146562002967e-01
4.558802390290983379e-03,4.171599999999999753e-01,8.956785228361162643e-01
4.579337536193195043e-03,4.171599999999999753e-01,8.956778748751555996e-01
4.579337536193195043e-03,4.172399999999999998e-01,8.956172279453084029e-01
